Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty
alpine-jacket,Alpine Pro Jacket,"<p>Premium insulated jacket for extreme cold. 600-fill goose down. Waterproof shell.</p>",NorthPeak Gear,Outerwear,"jacket,winter,insulated,waterproof",TRUE,Size,Small,Color,Navy,APJ-S-NV,189.99,72.50,24
alpine-jacket,Alpine Pro Jacket,"<p>Premium insulated jacket for extreme cold. 600-fill goose down. Waterproof shell.</p>",NorthPeak Gear,Outerwear,"jacket,winter,insulated,waterproof",TRUE,Size,Medium,Color,Navy,APJ-M-NV,189.99,72.50,41
alpine-jacket,Alpine Pro Jacket,"<p>Premium insulated jacket for extreme cold. 600-fill goose down. Waterproof shell.</p>",NorthPeak Gear,Outerwear,"jacket,winter,insulated,waterproof",TRUE,Size,Large,Color,Black,APJ-L-BK,189.99,72.50,18
alpine-jacket,Alpine Pro Jacket,"<p>Premium insulated jacket for extreme cold. 600-fill goose down. Waterproof shell.</p>",NorthPeak Gear,Outerwear,"jacket,winter,insulated,waterproof",TRUE,Size,XL,Color,Black,APJ-XL-BK,189.99,72.50,7
trail-runner,TrailBlazer Running Shoe,"<p>Lightweight trail runner with Vibram outsole. Breathable mesh upper. Zero-drop platform.</p>",NorthPeak Gear,Footwear,"shoes,trail,running,lightweight",TRUE,Size,8,Color,Orange,TBR-8-OR,129.99,48.00,35
trail-runner,TrailBlazer Running Shoe,"<p>Lightweight trail runner with Vibram outsole. Breathable mesh upper. Zero-drop platform.</p>",NorthPeak Gear,Footwear,"shoes,trail,running,lightweight",TRUE,Size,9,Color,Orange,TBR-9-OR,129.99,48.00,52
trail-runner,TrailBlazer Running Shoe,"<p>Lightweight trail runner with Vibram outsole. Breathable mesh upper. Zero-drop platform.</p>",NorthPeak Gear,Footwear,"shoes,trail,running,lightweight",TRUE,Size,10,Color,Grey,TBR-10-GR,129.99,48.00,29
trail-runner,TrailBlazer Running Shoe,"<p>Lightweight trail runner with Vibram outsole. Breathable mesh upper. Zero-drop platform.</p>",NorthPeak Gear,Footwear,"shoes,trail,running,lightweight",TRUE,Size,11,Color,Grey,TBR-11-GR,129.99,48.00,14
merino-base,Merino Wool Base Layer,"<p>250gsm Merino wool base layer. Temperature-regulating. Anti-odor. Machine washable.</p>",NorthPeak Gear,Apparel,"merino,wool,base-layer,hiking",TRUE,Size,S/M,,, MWB-SM,79.99,28.00,63
merino-base,Merino Wool Base Layer,"<p>250gsm Merino wool base layer. Temperature-regulating. Anti-odor. Machine washable.</p>",NorthPeak Gear,Apparel,"merino,wool,base-layer,hiking",TRUE,Size,L/XL,,, MWB-LXL,79.99,28.00,48
trekking-poles,Carbon Trekking Poles,"<p>Ultra-light carbon fibre trekking poles. Adjustable 100-135cm. Cork grip. Anti-shock.</p>",NorthPeak Gear,Accessories,"poles,trekking,carbon,lightweight",TRUE,Pack,Pair,,, CTP-PAIR,94.99,34.00,20
trekking-poles,Carbon Trekking Poles,"<p>Ultra-light carbon fibre trekking poles. Adjustable 100-135cm. Cork grip. Anti-shock.</p>",NorthPeak Gear,Accessories,"poles,trekking,carbon,lightweight",TRUE,Pack,Single,,, CTP-SINGLE,49.99,18.00,3
